web-scraper-order,web-scraper-start-url,player,season,team,position,games_played,goals,assists,points,plus_minus,pim,points_gp,ppg,ppp,shg,shp,gwg,otg,shots,shot_perc,toi_gp,shifts_gp,fow_perc
"1571430269-6865","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Bobby Rousseau","1964-65","MTL","R","66","12","35","47","-1","24","0.71","5","20","1","1","2","0","173","6.9","","--","--"
"1571430269-9974","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Bud MacPherson","1950-51","MTL","D","62","0","16","16","","40","0.26","0","4","0","0","0","0","","--","","--","--"
"1571430269-7223","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Milt Schmidt","1949-50","BOS","C","68","19","22","41","","41","0.60","2","9","0","0","4","0","","--","","--","--"
"1571430269-7480","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Sid Smith","1953-54","TOR","L","70","22","16","38","","28","0.54","7","10","0","0","2","0","","--","","--","--"
"1571430269-6246","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Bobby Rousseau","1966-67","MTL","R","68","19","44","63","-1","58","0.93","5","27","0","0","2","0","207","9.2","","--","--"
"1571430269-10519","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Ted Green","1962-63","BOS","D","70","1","11","12","-25","117","0.17","0","0","0","0","0","0","82","1.2","","--","--"
"1571430269-9699","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Francois Lacombe","1968-69","OAK","D","72","2","16","18","-9","50","0.25","1","7","0","0","0","0","102","2.0","","--","--"
"1571430269-12249","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Bob Kabel","1960-61","NYR","C","4","0","2","2","3","2","0.50","0","0","0","0","0","0","8","0.0","","--","--"
"1571430269-7944","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","John McKenzie","1965-66","NYR, BOS","R","71","19","14","33","-29","72","0.46","4","5","0","0","1","0","167","11.4","","--","--"
"1571430269-10706","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Mush March","1944-45","CHI","R","38","5","5","10","","12","0.26","1","3","0","0","1","0","","--","","--","--"
"1571430269-6782","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Ron Ellis","1967-68","TOR","R","74","28","20","48","7","8","0.65","1","4","1","1","5","0","215","13.0","","--","--"
"1571430269-5972","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Gordie Howe","1962-63","DET","R","70","38","48","86","23","100","1.23","13","31","0","1","6","0","351","10.8","","--","--"
"1571430269-13529","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Lude Check","1943-44","DET","L","1","0","0","0","","0","--","0","0","0","0","0","0","","--","","--","--"
"1571430269-5936","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Stan Mikita","1966-67","CHI","C","70","35","62","97","40","12","1.39","8","30","1","2","5","0","279","12.5","","--","--"
"1571430269-6380","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Don McKenney","1957-58","BOS","C","70","28","30","58","","22","0.83","6","12","1","2","4","0","","--","","--","--"
"1571430269-8928","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Donnie Marshall","1963-64","NYR","L","70","11","12","23","-21","8","0.33","0","0","0","1","1","0","155","7.1","","--","--"
"1571430269-6392","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Bob Nevin","1960-61","TOR","R","68","21","37","58","26","13","0.85","5","11","1","1","5","0","143","14.7","","--","--"
"1571430269-11870","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Bronco Horvath","1956-57","NYR, MTL","C","8","1","2","3","","4","0.38","1","2","0","0","0","0","","--","","--","--"
"1571430269-12879","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Francis Kane","1943-44","DET","D","2","0","0","0","","0","--","0","0","0","0","0","0","","--","","--","--"
"1571430269-9452","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Bill Dineen","1954-55","DET","R","69","10","9","19","","36","0.28","3","4","0","0","3","0","","--","","--","--"
"1571430269-13208","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Dale Anderson","1956-57","DET","D","13","0","0","0","","6","--","0","0","0","0","0","0","","--","","--","--"
"1571430269-10507","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Al MacNeil","1967-68","PIT","D","74","2","10","12","-5","58","0.16","0","0","0","0","0","0","75","2.7","","--","--"
"1571430269-9181","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","George Gee","1948-49","CHI, DET","C","51","7","14","21","","33","0.41","0","2","0","0","0","0","","--","","--","--"
"1571430269-13321","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","J.P. Parise","1965-66","BOS","L","3","0","0","0","-2","0","--","0","0","0","0","0","0","2","0.0","","--","--"
"1571430269-12159","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Jim Ross","1952-53","NYR","D","11","0","2","2","","4","0.18","0","0","0","0","0","0","","--","","--","--"
"1571430269-9215","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Leo Boivin","1958-59","BOS","D","70","5","16","21","","94","0.30","0","2","0","2","0","0","","--","","--","--"
"1571430269-6948","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Dick Duff","1965-66","MTL","L","63","21","24","45","2","80","0.71","5","14","0","0","2","0","156","13.5","","--","--"
"1571430269-8951","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Eddie Bruneteau","1946-47","DET","R","60","9","14","23","","14","0.38","2","6","0","0","0","0","","--","","--","--"
"1571430269-8979","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Ken Hodge","1965-66","CHI","R","63","6","17","23","6","45","0.36","1","5","1","1","1","0","71","8.5","","--","--"
"1571430269-7130","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Dean Prentice","1955-56","NYR","L","70","24","18","42","","47","0.60","0","1","0","1","3","0","","--","","--","--"
"1571430269-13140","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Dave Reid","1955-56","TOR","C","4","0","0","0","","0","--","0","0","0","0","0","0","","--","","--","--"
"1571430269-8151","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Dave Balon","1968-69","NYR","L","75","10","21","31","4","57","0.41","1","3","2","2","3","0","134","7.5","","--","--"
"1571430269-12902","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Dave Balon","1959-60","NYR","L","4","0","0","0","-1","0","--","0","0","0","0","0","0","3","0.0","","--","--"
"1571430269-6034","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Doug Bentley","1943-44","CHI","L","50","38","39","77","","22","1.54","8","17","0","0","5","0","","--","","--","--"
"1571430269-13794","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Ed Kryzanowski","1952-53","CHI","D","5","0","0","0","","0","--","0","0","0","0","0","0","","--","","--","--"
"1571430269-9644","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Bill Hicke","1964-65","MTL, NYR","R","57","6","12","18","-23","28","0.32","1","3","0","0","2","0","67","8.9","","--","--"
"1571430269-9923","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Jimmy Thomson","1954-55","TOR","D","70","4","12","16","","63","0.23","0","0","1","1","1","0","","--","","--","--"
