web-scraper-order,web-scraper-start-url,name,season,team,position,games_played,goals,assists,points,plus_minus,pim,points_per_gp,ppg,ppp,shg,shp,gwg,otg,shots,shot_perc,toi_gp,shifts_gp,fow_perc
"1571428408-4244","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Vern Ayres","1935-36","NYR","D","28","0","4","4","","38","0.14","0","1","0","0","0","0","","--","","--","--"
"1571428408-3000","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Clem Loughlin","1926-27","DCG","D","34","7","3","10","","44","0.29","","","","","1","0","","--","","--","--"
"1571428408-2476","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Marty Barry","1939-40","MTL","C","30","4","10","14","","2","0.47","1","2","0","0","1","0","","--","","--","--"
"1571428408-4614","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Babe Pratt","1935-36","NYR","D","17","1","1","2","","16","0.12","0","1","1","1","0","0","","--","","--","--"
"1571428408-2221","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Stewart Evans","1937-38","MMR","D","48","5","11","16","","59","0.33","1","4","0","1","1","0","","--","","--","--"
"1571428408-4486","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Marty Burke","1935-36","CHI","D","48","0","3","3","","49","0.06","0","0","0","0","0","0","","--","","--","--"
"1571428408-3677","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Rodger Smith","1928-29","PIR","D","44","4","2","6","","49","0.14","","","","","2","1","","--","","--","--"
"1571428408-2242","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Ott Heller","1937-38","NYR","D","48","2","14","16","","68","0.33","0","1","0","0","0","0","","--","","--","--"
"1571428408-2599","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Eric Pettinger","1929-30","TOR","L","43","4","9","13","","42","0.30","","","","","0","0","","--","","--","--"
"1571428408-3580","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Gord Pettinger","1939-40","BOS","C","24","2","5","7","","2","0.29","0","0","0","0","1","0","","--","","--","--"
"1571428408-2658","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Harold Darragh","1928-29","PIR","L","43","9","3","12","","6","0.28","","","","","1","0","","--","","--","--"
"1571428408-2172","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Louis Berlinquette","1919-20","MTL","L","24","8","8","16","","36","0.67","","","","","0","0","","--","","--","--"
"1571428408-875","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Frank Boucher","1926-27","NYR","C","44","13","15","28","","17","0.64","","","","","2","0","","--","","--","--"
"1571428408-4038","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Billy Boyd","1927-28","NYR","R","43","4","0","4","","11","0.09","","","","","2","0","","--","","--","--"
"1571428408-5604","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Joe Matte","1925-26","BOS, MTL","D","9","0","0","0","","0","--","","","","","0","0","","--","","--","--"
"1571428408-3740","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Vic Desjardins","1931-32","NYR","C","48","3","3","6","","16","0.13","","","","","0","0","","--","","--","--"
