web-scraper-order,web-scraper-start-url,team,season,games_played,wins,losses,ties,overtime,points,row,p_perc,goals_for,goals_against,shoot_out_wins,goalsf_per_gp,goalsa_per_gp,powerplay_perc,penalty_kill_perc,shots_per_gp,shots_against_per_gp,fow_perc
"1571322799-410","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Boston Bruins","2007-08","82","41","29","0","12","94","35",".573","206","215","6","2.51","2.62","17.5","78.6","28.5","30.5","49.1"
"1571322799-675","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Chicago Blackhawks","1984-85","80","38","35","7","","83","0",".519","309","299","0","3.86","3.74","21.8","77.2","30.0","33.1","--"
"1571322799-226","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","New Jersey Devils","2005-06","82","46","27","0","9","101","37",".616","233","225","9","2.84","2.74","17.8","81.9","29.2","29.3","49.5"
"1571322799-1371","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Dallas Stars","2012-13","48","22","22","0","4","48","20",".500","128","141","2","2.67","2.94","17.0","81.0","26.3","31.0","47.2"
"1571322799-1593","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Los Angeles Kings","2019-20","6","2","4","0","0","4","2",".333","20","28","0","3.33","4.67","9.5","65.0","36.3","29.3","47.8"
"1571322799-594","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Chicago Blackhawks","1991-92","80","36","29","15","","87","0",".544","257","236","0","3.21","2.95","17.3","84.2","33.1","25.4","0.0"
"1571322799-994","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Toronto Maple Leafs","1980-81","80","28","37","15","","71","0",".444","322","367","0","4.03","4.59","25.3","77.4","34.3","33.5","--"
"1571322799-644","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Montréal Canadiens","1963-64","70","36","21","13","","85","0",".607","209","167","0","2.99","2.39","--","--","35.7","28.2","--"
"1571322799-1038","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Chicago Blackhawks","1952-53","70","27","28","15","","69","0",".493","169","175","0","2.41","2.50","--","--","--","--","--"
"1571322799-517","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Toronto Maple Leafs","2000-01","82","37","29","11","5","90","0",".549","232","207","0","2.83","2.52","16.1","85.0","27.8","27.4","52.8"
"1571322799-1590","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Montréal Canadiens","2019-20","6","2","2","0","2","6","1",".500","21","23","1","3.50","3.83","23.8","61.1","35.3","34.0","49.2"
"1571322799-1485","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Anaheim Ducks","1994-95","48","16","27","5","","37","0",".385","125","164","0","2.60","3.42","11.4","75.6","28.0","33.0","0.0"
"1571322799-1348","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Chicago Blackhawks","1948-49","60","21","31","8","","50","0",".417","173","211","0","2.88","3.52","--","--","--","--","--"
"1571322799-509","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Phoenix Coyotes","1998-99","82","39","31","12","","90","0",".549","205","197","0","2.50","2.40","12.0","87.1","29.2","27.4","49.1"
"1571322799-41","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Boston Bruins","1973-74","78","52","17","9","","113","0",".724","349","221","0","4.47","2.83","--","--","34.0","29.3","--"
"1571322799-1516","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Winnipeg Jets (1979)","1980-81","80","9","57","14","","32","0",".200","246","400","0","3.08","5.00","17.3","74.2","28.3","34.9","--"
"1571322799-185","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Calgary Flames","2005-06","82","46","25","0","11","103","44",".628","216","193","2","2.63","2.35","18.2","84.3","28.0","27.6","50.4"
"1571322799-845","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Calgary Flames","2015-16","82","35","40","0","7","77","33",".470","229","257","2","2.79","3.13","17.0","75.5","29.2","29.0","48.6"
"1571322799-1599","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Montreal Wanderers","1917-18","6","1","5","0","","2","0",".167","17","35","0","2.83","5.83","--","--","--","--","--"
"1571322799-1189","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Detroit Red Wings","1961-62","70","23","33","14","","60","0",".429","184","219","0","2.63","3.13","--","--","33.2","29.0","--"
