web-scraper-order,web-scraper-start-url,name,season,team,position,games_played,goals,assists,points,plus_minus,pim,points_per_gp,ppg,ppp,shg,shp,gwg,otg,shots,shot_perc,toi_gp,shifts_gp,fow_perc
"1573423104-6014","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Red Berenson","1961-62","MTL","C","4","1","2","3","-1","4","0.75","1","1","0","0","0","0","10","10.0","","--","--"
"1573423104-3636","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Larry Hale","1968-69","PHI","D","67","3","16","19","-21","28","0.28","0","0","0","0","0","0","62","4.8","","--","--"
"1573423104-5494","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Paul Meger","1950-51","MTL","L","17","2","4","6","","6","0.35","0","0","0","0","1","0","","--","","--","--"
"1573423104-3270","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Paul Henderson","1964-65","DET","L","70","8","13","21","3","30","0.30","0","3","0","2","1","0","124","6.5","","--","--"
"1573423104-6830","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Doug Baldwin","1945-46","TOR","D","15","0","1","1","","6","0.07","0","1","0","0","0","0","","--","","--","--"
"1573423104-7485","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Parker MacDonald","1952-53","TOR","C","1","0","0","0","","0","--","0","0","0","0","0","0","","--","","--","--"
"1573423104-1689","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Allan Johnson","1960-61","DET","R","70","16","21","37","-6","12","0.53","1","2","0","0","1","0","149","10.7","","--","--"
"1573423104-7944","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Norm Larson","1946-47","NYR","R","1","0","0","0","","0","--","0","0","0","0","0","0","","--","","--","--"
"1573423104-6597","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Don Johns","1964-65","NYR","D","22","0","1","1","-2","4","0.05","0","0","0","0","0","0","12","0.0","","--","--"
"1573423104-960","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Ron Ellis","1968-69","TOR","R","72","25","21","46","4","12","0.64","4","7","0","1","5","0","180","13.9","","--","--"
"1573423104-1118","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Buzz Boll","1943-44","BOS","L","39","19","25","44","","2","1.13","0","2","0","0","0","0","","--","","--","--"
"1573423104-3415","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Camille Henry","1967-68","NYR","C","36","8","12","20","18","0","0.56","1","3","0","0","0","0","39","20.5","","--","--"
"1573423104-1680","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Bill Ezinicki","1946-47","TOR","R","60","17","20","37","","93","0.62","2","3","0","0","2","0","","--","","--","--"
"1573423104-4353","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","John Miszuk","1968-69","PHI","D","66","1","13","14","-5","70","0.21","1","1","0","0","0","0","70","1.4","","--","--"
"1573423104-2689","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Jud McAtee","1944-45","DET","L","44","15","11","26","","6","0.59","1","2","0","0","1","0","","--","","--","--"
"1573423104-3887","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Leo Boivin","1954-55","TOR, BOS","D","66","6","11","17","","113","0.26","2","3","0","0","0","0","","--","","--","--"
"1573423104-6554","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Ted Hampson","1963-64","DET","C","7","0","1","1","1","0","0.14","0","0","0","0","0","0","3","0.0","","--","--"
"1573423104-4122","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Jacques Locas","1947-48","MTL","R","56","7","8","15","","66","0.27","1","3","0","0","1","0","","--","","--","--"
"1573423104-1658","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Red Hamill","1945-46","CHI","L","48","20","17","37","","23","0.77","2","7","0","0","3","0","","--","","--","--"
"1573423104-3962","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Dave Creighton","1952-53","BOS","C","45","8","8","16","","14","0.36","3","3","0","0","1","0","","--","","--","--"
"1573423104-4834","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","John Harms","1944-45","CHI","R","43","5","5","10","","21","0.23","0","0","0","0","0","0","","--","","--","--"
"1573423104-7305","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Dan Poliziani","1958-59","BOS","R","1","0","0","0","","0","--","0","0","0","0","0","0","","--","","--","--"
"1573423104-6065","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Bob McCord","1966-67","DET","D","14","1","2","3","-3","27","0.21","0","0","0","0","0","0","26","3.8","","--","--"
"1573423104-4064","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Ken Reardon","1948-49","MTL","D","46","3","13","16","","103","0.35","0","3","0","1","1","0","","--","","--","--"
